LOCATION,PLUSPCUSTOMER,NAME,LATITUDEY,LONGITUDEX,ANCESTOR,BRANCH,TYPE,STATUS,POSTALCODE,ORGID
L1000121,H1000000,WM MORRISONS SUPERMARKETS PLC,53.80499152,-1.7151512,901000,900000,,OPERATING,BD3 7DL,INTHK
L1000123,H1000000,WM MORRISONS SUPERMARKETS PLC,51.748051,-0.0550859,901000,900000,,OPERATING,EN11 8UD,INTHK
L1000124,H1000000,WM MORRISONS SUPERMARKETS PLC,51.55578817,-0.11793068,901000,900000,,OPERATING,N7 6PL,INTHK
L1000125,H1000000,WM MORRISONS SUPERMARKETS PLC,53.23234,-4.6993373,901000,900000,,OPERATING,LL65 2ZZ,INTHK
L1000126,H1000000,WM MORRISONS SUPERMARKETS PLC,50.905337,-1.0033427,901000,900000,,OPERATING,PO8 9FB,INTHK
L1000128,H1000000,WM MORRISONS SUPERMARKETS PLC,51.90237982,-0.52404003,901000,900000,,OPERATING,LU5 5BJ,INTHK
L1000129,H1000000,WM MORRISONS SUPERMARKETS PLC,53.77760727,-1.53034263,901000,900000,,OPERATING,LS10 2AP,INTHK
L1000130,H1000000,WM MORRISONS SUPERMARKETS PLC,55.90038712,-3.22701483,901000,900000,,OPERATING,EH10 7JA,INTHK
L1000132,H1000000,WM MORRISONS SUPERMARKETS PLC,52.96469332,-1.30595033,901000,900000,,OPERATING,DE7 5NN,INTHK
L1000133,H1000000,WM MORRISONS SUPERMARKETS PLC,57.4789638,-4.22043253,901000,900000,,OPERATING,IV2 3PX,INTHK
L1000134,H1000000,WM MORRISONS SUPERMARKETS PLC,57.28359632,-2.398662,901000,900000,,OPERATING,AB51 4JP,INTHK
L1000135,H1000000,WM MORRISONS SUPERMARKETS PLC,55.8380961,-4.5158744,901000,900000,,OPERATING,PA5 8SF,INTHK
L1000136,H1000000,WM MORRISONS SUPERMARKETS PLC,53.86288117,-1.90876693,901000,900000,,OPERATING,BD21 5AE,INTHK
L1000137,H1000000,WM MORRISONS SUPERMARKETS PLC,52.39936487,-0.73266823,901000,900000,,OPERATING,NN16 8AN,INTHK
